Date,Category,Payment Mode,Description,Amount Paid,Cashback
2024-05-16,Gifts,Debit Card,Purchased gifts for friends and family.,1473.02,0.0
2024-05-02,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1780.52,0.0
2024-05-07,Travel,Debit Card,Expense for travel tickets and accommodation.,4646.26,0.0
2024-05-06,Transportation,Debit Card,Daily commute and fuel expenses.,3506.29,0.0
2024-05-16,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3914.77,0.0
2024-05-05,Gifts,Credit Card,Purchased gifts for friends and family.,2326.38,0.0
2024-05-15,Travel,Debit Card,Expense for travel tickets and accommodation.,3263.43,0.0
2024-05-06,Gifts,Cash,Purchased gifts for friends and family.,1787.35,0.0
2024-05-01,Gifts,Credit Card,Purchased gifts for friends and family.,1432.42,0.0
2024-05-01,Entertainment,UPI,"Movies, concerts, and recreational activities.",1830.16,16.58
2024-05-17,Subscriptions,Cash,Online streaming and magazine subscriptions.,3068.09,0.0
2024-05-22,Travel,Credit Card,Expense for travel tickets and accommodation.,3809.66,0.0
2024-05-20,Subscriptions,UPI,Online streaming and magazine subscriptions.,4465.87,16.3
2024-05-12,Subscriptions,UPI,Online streaming and magazine subscriptions.,1487.43,14.52
2024-05-08,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4447.1,0.0
2024-05-10,Groceries,UPI,Purchased groceries and household items.,4817.23,6.5
2024-05-02,Groceries,Debit Card,Purchased groceries and household items.,1729.89,0.0
2024-05-02,Groceries,Cash,Purchased groceries and household items.,2877.49,0.0
2024-05-14,Entertainment,UPI,"Movies, concerts, and recreational activities.",2783.22,3.84
2024-05-12,Gifts,Credit Card,Purchased gifts for friends and family.,3514.39,0.0
2024-05-16,Transportation,Cash,Daily commute and fuel expenses.,1411.8,0.0
2024-05-21,Transportation,Credit Card,Daily commute and fuel expenses.,2597.61,0.0
2024-05-25,Entertainment,UPI,"Movies, concerts, and recreational activities.",4941.96,13.92
2024-05-26,Transportation,Credit Card,Daily commute and fuel expenses.,1584.97,0.0
2024-05-16,Groceries,Cash,Purchased groceries and household items.,3326.93,0.0
2024-05-21,Groceries,Debit Card,Purchased groceries and household items.,1060.81,0.0
2024-05-23,Travel,Cash,Expense for travel tickets and accommodation.,3922.31,0.0
2024-05-10,Transportation,Credit Card,Daily commute and fuel expenses.,1270.98,0.0
2024-05-23,Groceries,UPI,Purchased groceries and household items.,3045.25,14.82
2024-05-13,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",763.39,0.0
2024-05-14,Gifts,Debit Card,Purchased gifts for friends and family.,4844.62,0.0
2024-05-06,Transportation,Cash,Daily commute and fuel expenses.,2715.6,0.0
2024-05-07,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",178.35,0.0
2024-05-13,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",1160.97,0.0
2024-05-09,Gifts,UPI,Purchased gifts for friends and family.,2842.36,12.95
2024-05-13,Transportation,Debit Card,Daily commute and fuel expenses.,1464.6,0.0
2024-05-11,Entertainment,Cash,"Movies, concerts, and recreational activities.",2139.81,0.0
2024-05-06,Travel,Debit Card,Expense for travel tickets and accommodation.,3927.1,0.0
2024-05-26,Travel,Cash,Expense for travel tickets and accommodation.,2787.84,0.0
2024-05-27,Entertainment,Cash,"Movies, concerts, and recreational activities.",4821.67,0.0
2024-05-20,Entertainment,UPI,"Movies, concerts, and recreational activities.",1102.13,2.98
2024-05-12,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2706.57,0.0
2024-05-23,Groceries,UPI,Purchased groceries and household items.,3169.42,2.31
2024-05-13,Entertainment,UPI,"Movies, concerts, and recreational activities.",3983.1,5.08
2024-05-12,Groceries,Cash,Purchased groceries and household items.,1669.51,0.0
2024-05-05,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2881.78,0.0
2024-05-23,Transportation,Debit Card,Daily commute and fuel expenses.,3635.45,0.0
2024-05-02,Groceries,Credit Card,Purchased groceries and household items.,2438.74,0.0
2024-05-21,Groceries,Debit Card,Purchased groceries and household items.,3100.96,0.0
2024-05-08,Transportation,Credit Card,Daily commute and fuel expenses.,4453.16,0.0
2024-05-09,Transportation,Credit Card,Daily commute and fuel expenses.,3863.85,0.0
2024-05-11,Transportation,Credit Card,Daily commute and fuel expenses.,1352.03,0.0
2024-05-12,Entertainment,UPI,"Movies, concerts, and recreational activities.",2185.31,13.51
2024-05-15,Subscriptions,UPI,Online streaming and magazine subscriptions.,2116.01,10.55
2024-05-21,Groceries,Debit Card,Purchased groceries and household items.,4171.8,0.0
2024-05-22,Travel,Credit Card,Expense for travel tickets and accommodation.,2170.73,0.0
2024-05-14,Groceries,Debit Card,Purchased groceries and household items.,190.37,0.0
2024-05-08,Transportation,Credit Card,Daily commute and fuel expenses.,2597.21,0.0
2024-05-06,Groceries,Credit Card,Purchased groceries and household items.,4095.98,0.0
2024-05-09,Transportation,Cash,Daily commute and fuel expenses.,396.08,0.0
2024-05-15,Groceries,UPI,Purchased groceries and household items.,2646.7,7.91
2024-05-22,Gifts,Credit Card,Purchased gifts for friends and family.,1595.41,0.0
2024-05-10,Transportation,Debit Card,Daily commute and fuel expenses.,3684.58,0.0
2024-05-11,Gifts,Cash,Purchased gifts for friends and family.,3159.06,0.0
2024-05-24,Gifts,UPI,Purchased gifts for friends and family.,1375.94,5.8
2024-05-23,Entertainment,UPI,"Movies, concerts, and recreational activities.",599.18,7.65
2024-05-26,Groceries,Cash,Purchased groceries and household items.,1072.16,0.0
2024-06-27,Travel,Cash,Expense for travel tickets and accommodation.,1391.32,0.0
2024-06-11,Gifts,Credit Card,Purchased gifts for friends and family.,459.71,0.0
2024-06-08,Gas Bill,Debit Card,Monthly gas bill payment.,1158.83,0.0
2024-06-03,Entertainment,Cash,"Movies, concerts, and recreational activities.",1820.59,0.0
2024-06-19,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4422.26,0.0
2024-06-12,Subscriptions,Cash,Online streaming and magazine subscriptions.,2075.69,0.0
2024-06-24,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",3388.92,0.0
2024-06-21,Subscriptions,Cash,Online streaming and magazine subscriptions.,1278.75,0.0
2024-06-02,Travel,Debit Card,Expense for travel tickets and accommodation.,2147.48,0.0
2024-06-12,Transportation,Cash,Daily commute and fuel expenses.,4714.7,0.0
2024-06-09,Groceries,Credit Card,Purchased groceries and household items.,3651.5,0.0
2024-06-14,Gifts,UPI,Purchased gifts for friends and family.,979.84,15.54
2024-06-01,Gifts,Debit Card,Purchased gifts for friends and family.,2679.16,0.0
2024-06-25,Transportation,Credit Card,Daily commute and fuel expenses.,983.6,0.0
2024-06-06,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4100.01,0.0
2024-06-15,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4739.56,0.0
2024-06-23,Travel,UPI,Expense for travel tickets and accommodation.,185.69,16.62
2024-06-10,Transportation,UPI,Daily commute and fuel expenses.,2621.43,18.45
2024-06-22,Travel,Debit Card,Expense for travel tickets and accommodation.,2784.59,0.0
2024-06-04,Gifts,UPI,Purchased gifts for friends and family.,4530.54,18.95
2024-06-02,Transportation,Debit Card,Daily commute and fuel expenses.,4554.67,0.0
2024-06-27,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",1964.37,0.0
2024-06-25,Travel,Debit Card,Expense for travel tickets and accommodation.,1801.57,0.0
2024-06-20,Transportation,Debit Card,Daily commute and fuel expenses.,2694.73,0.0
2024-06-17,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2198.88,0.0
2024-06-22,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4089.88,0.0
2024-06-16,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3288.9,0.0
2024-06-05,Gifts,UPI,Purchased gifts for friends and family.,4681.64,7.65
2024-06-06,Travel,Credit Card,Expense for travel tickets and accommodation.,3733.65,0.0
2024-06-24,Travel,Debit Card,Expense for travel tickets and accommodation.,1624.36,0.0
2024-06-26,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,671.29,0.0
2024-06-20,Groceries,Credit Card,Purchased groceries and household items.,3179.29,0.0
2024-06-22,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",659.3,0.0
2024-06-03,Travel,UPI,Expense for travel tickets and accommodation.,3001.09,1.26
2024-06-10,Travel,Cash,Expense for travel tickets and accommodation.,1841.19,0.0
2024-06-18,Gifts,Credit Card,Purchased gifts for friends and family.,3504.46,0.0
2024-06-26,Transportation,Credit Card,Daily commute and fuel expenses.,1332.43,0.0
2024-06-04,Subscriptions,UPI,Online streaming and magazine subscriptions.,2456.57,16.58
2024-06-03,Transportation,Credit Card,Daily commute and fuel expenses.,4363.61,0.0
2024-06-10,Entertainment,Cash,"Movies, concerts, and recreational activities.",1486.3,0.0
2024-06-16,Groceries,Cash,Purchased groceries and household items.,717.46,0.0
2024-06-21,Gifts,Debit Card,Purchased gifts for friends and family.,4899.41,0.0
2024-06-14,Entertainment,UPI,"Movies, concerts, and recreational activities.",1985.34,13.76
2024-06-24,Transportation,Debit Card,Daily commute and fuel expenses.,3170.18,0.0
2024-06-05,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4626.43,0.0
2024-06-25,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,467.67,0.0
2024-06-11,Entertainment,UPI,"Movies, concerts, and recreational activities.",2309.91,18.9
2024-06-05,Transportation,Debit Card,Daily commute and fuel expenses.,2409.87,0.0
2024-06-06,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1750.21,0.0
2024-06-16,Groceries,Cash,Purchased groceries and household items.,114.54,0.0
2024-06-20,Transportation,Debit Card,Daily commute and fuel expenses.,839.73,0.0
2024-06-22,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4261.93,0.0
2024-06-13,Groceries,UPI,Purchased groceries and household items.,1898.31,12.37
2024-06-02,Gifts,Debit Card,Purchased gifts for friends and family.,3206.75,0.0
2024-06-12,Subscriptions,Cash,Online streaming and magazine subscriptions.,4538.23,0.0
2024-06-04,Travel,UPI,Expense for travel tickets and accommodation.,3738.58,13.05
2024-06-22,Subscriptions,Cash,Online streaming and magazine subscriptions.,3146.13,0.0
2024-06-17,Travel,UPI,Expense for travel tickets and accommodation.,1384.03,11.04
2024-06-26,Gifts,UPI,Purchased gifts for friends and family.,365.4,17.1
2024-06-19,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,1222.64,0.0
2024-06-06,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,1915.51,0.0
2024-06-27,Travel,Debit Card,Expense for travel tickets and accommodation.,4679.18,0.0
2024-06-24,Entertainment,UPI,"Movies, concerts, and recreational activities.",165.05,3.28
2024-06-06,Subscriptions,Cash,Online streaming and magazine subscriptions.,1141.22,0.0
2024-06-22,Entertainment,Cash,"Movies, concerts, and recreational activities.",950.94,0.0
2024-06-21,Entertainment,Cash,"Movies, concerts, and recreational activities.",4709.94,0.0
2024-06-12,Transportation,Debit Card,Daily commute and fuel expenses.,2767.65,0.0
2024-06-27,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,1793.91,0.0
2024-06-10,Transportation,Credit Card,Daily commute and fuel expenses.,4115.36,0.0
2024-06-22,Subscriptions,UPI,Online streaming and magazine subscriptions.,2876.27,8.66
2024-06-03,Transportation,Credit Card,Daily commute and fuel expenses.,4500.72,0.0
2024-06-20,Transportation,Debit Card,Daily commute and fuel expenses.,2178.39,0.0
2024-06-21,Groceries,UPI,Purchased groceries and household items.,3554.72,4.61
2024-06-20,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2193.41,0.0
2024-06-08,Transportation,Cash,Daily commute and fuel expenses.,3733.67,0.0
2024-06-10,Transportation,Cash,Daily commute and fuel expenses.,119.4,0.0
2024-06-21,Travel,Cash,Expense for travel tickets and accommodation.,126.13,0.0
2024-06-09,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2228.17,0.0
2024-06-11,Travel,Credit Card,Expense for travel tickets and accommodation.,866.87,0.0
2024-06-09,Travel,Credit Card,Expense for travel tickets and accommodation.,472.67,0.0
2024-06-18,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",3865.71,0.0
2024-06-06,Groceries,Credit Card,Purchased groceries and household items.,3057.76,0.0
2024-06-03,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4025.47,0.0
2024-06-15,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4688.59,0.0
2024-06-16,Transportation,UPI,Daily commute and fuel expenses.,982.88,7.18
2024-06-07,Transportation,Cash,Daily commute and fuel expenses.,4742.08,0.0
2024-06-17,Transportation,Credit Card,Daily commute and fuel expenses.,208.34,0.0
2024-06-17,Groceries,UPI,Purchased groceries and household items.,2662.79,4.74
2024-06-16,Transportation,Credit Card,Daily commute and fuel expenses.,1139.47,0.0
2024-06-05,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3441.65,0.0
2024-06-15,Gifts,Credit Card,Purchased gifts for friends and family.,3116.01,0.0
2024-06-18,Subscriptions,Cash,Online streaming and magazine subscriptions.,2870.91,0.0
2024-06-21,Transportation,Cash,Daily commute and fuel expenses.,1030.49,0.0
2024-06-24,Groceries,Credit Card,Purchased groceries and household items.,545.04,0.0
2024-06-04,Groceries,UPI,Purchased groceries and household items.,2104.66,17.64
2024-06-22,Transportation,UPI,Daily commute and fuel expenses.,4986.11,5.82
2024-06-04,Travel,UPI,Expense for travel tickets and accommodation.,4136.11,19.78
2024-06-26,Groceries,UPI,Purchased groceries and household items.,2894.41,13.36
2024-06-16,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",3630.98,0.0
2024-06-15,Travel,UPI,Expense for travel tickets and accommodation.,282.83,17.21
2024-06-18,Transportation,UPI,Daily commute and fuel expenses.,3802.68,8.42
2024-06-02,Transportation,Credit Card,Daily commute and fuel expenses.,2625.42,0.0
2024-06-10,Travel,Cash,Expense for travel tickets and accommodation.,2024.83,0.0
2024-06-26,Transportation,Cash,Daily commute and fuel expenses.,1567.97,0.0
2024-06-02,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3005.19,0.0
2024-06-18,Groceries,Credit Card,Purchased groceries and household items.,4656.08,0.0
2024-06-27,Transportation,Cash,Daily commute and fuel expenses.,3901.31,0.0
2024-06-09,Transportation,UPI,Daily commute and fuel expenses.,4249.27,19.28
2024-06-06,Gifts,Debit Card,Purchased gifts for friends and family.,4375.57,0.0
2024-06-09,Transportation,Debit Card,Daily commute and fuel expenses.,2892.14,0.0
2024-06-16,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2591.65,0.0
2024-06-17,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,3843.15,0.0
2024-06-01,Gifts,Credit Card,Purchased gifts for friends and family.,3171.2,0.0
2024-06-26,Gifts,UPI,Purchased gifts for friends and family.,2378.06,1.84
2024-06-17,Gifts,Cash,Purchased gifts for friends and family.,690.65,0.0
2024-06-14,Subscriptions,Cash,Online streaming and magazine subscriptions.,1627.4,0.0
2024-06-03,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1447.85,0.0
2024-06-27,Subscriptions,UPI,Online streaming and magazine subscriptions.,1500.07,13.22
2024-06-23,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,3743.15,0.0
2024-06-20,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",3905.87,0.0
2024-06-04,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",4723.97,0.0
2024-06-18,Subscriptions,Cash,Online streaming and magazine subscriptions.,217.36,0.0
2024-06-22,Transportation,Debit Card,Daily commute and fuel expenses.,2469.53,0.0
2024-06-15,Entertainment,Cash,"Movies, concerts, and recreational activities.",2833.56,0.0
2024-06-20,Travel,Cash,Expense for travel tickets and accommodation.,589.92,0.0
2024-06-16,Subscriptions,Cash,Online streaming and magazine subscriptions.,873.4,0.0
2024-06-17,Entertainment,UPI,"Movies, concerts, and recreational activities.",2608.06,3.08
2024-06-27,Transportation,Debit Card,Daily commute and fuel expenses.,3665.47,0.0
2024-06-10,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,1298.52,0.0
2024-06-09,Groceries,Debit Card,Purchased groceries and household items.,1348.88,0.0
2024-06-24,Travel,UPI,Expense for travel tickets and accommodation.,3824.14,12.94
2024-06-13,Groceries,Cash,Purchased groceries and household items.,3371.16,0.0
2024-06-04,Entertainment,Cash,"Movies, concerts, and recreational activities.",3668.72,0.0
2024-06-20,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2526.1,0.0
2024-06-17,Gifts,Credit Card,Purchased gifts for friends and family.,3676.94,0.0
2024-06-21,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",100.99,0.0
2024-06-10,Travel,Cash,Expense for travel tickets and accommodation.,3247.3,0.0
2024-06-26,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,157.9,0.0
2024-06-22,Groceries,UPI,Purchased groceries and household items.,2854.26,13.92
2024-06-05,Travel,Debit Card,Expense for travel tickets and accommodation.,4092.34,0.0
2024-06-17,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3644.23,0.0
2024-06-27,Gifts,Debit Card,Purchased gifts for friends and family.,3034.78,0.0
2024-06-24,Entertainment,Cash,"Movies, concerts, and recreational activities.",2773.29,0.0
2024-06-23,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3243.4,0.0
2024-06-04,Gifts,Cash,Purchased gifts for friends and family.,810.68,0.0
2024-06-24,Groceries,Debit Card,Purchased groceries and household items.,346.33,0.0
2024-06-22,Gifts,UPI,Purchased gifts for friends and family.,4072.72,16.56
2024-06-04,Gifts,Credit Card,Purchased gifts for friends and family.,1645.29,0.0
2024-06-16,Gifts,Debit Card,Purchased gifts for friends and family.,1050.4,0.0
2024-06-26,Gifts,Debit Card,Purchased gifts for friends and family.,4564.36,0.0
2024-07-09,Gas Bill,Debit Card,Monthly gas bill payment.,4233.04,0.0
2024-07-17,Entertainment,Cash,"Movies, concerts, and recreational activities.",3071.3,0.0
2024-07-27,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,935.29,0.0
2024-07-25,Transportation,Cash,Daily commute and fuel expenses.,3000.85,0.0
2024-07-02,Gifts,UPI,Purchased gifts for friends and family.,2486.83,5.6
2024-07-17,Subscriptions,UPI,Online streaming and magazine subscriptions.,4147.8,8.56
2024-07-09,Gifts,UPI,Purchased gifts for friends and family.,3637.73,19.94
2024-07-10,Transportation,Debit Card,Daily commute and fuel expenses.,3351.0,0.0
2024-07-08,Gifts,UPI,Purchased gifts for friends and family.,2376.11,2.32
2024-07-27,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",2534.73,0.0
2024-07-01,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,1098.38,0.0
2024-07-17,Groceries,Cash,Purchased groceries and household items.,4423.06,0.0
2024-07-01,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4878.82,0.0
2024-07-03,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3039.11,0.0
2024-07-19,Subscriptions,Cash,Online streaming and magazine subscriptions.,669.05,0.0
2024-07-03,Gifts,Debit Card,Purchased gifts for friends and family.,3920.84,0.0
2024-07-07,Travel,UPI,Expense for travel tickets and accommodation.,297.16,8.08
2024-07-07,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,2121.07,0.0
2024-07-12,Transportation,Cash,Daily commute and fuel expenses.,711.54,0.0
2024-07-18,Gifts,UPI,Purchased gifts for friends and family.,2819.99,10.08
2024-07-05,Travel,Credit Card,Expense for travel tickets and accommodation.,1374.24,0.0
2024-07-24,Gifts,Credit Card,Purchased gifts for friends and family.,4341.71,0.0
2024-07-19,Subscriptions,Cash,Online streaming and magazine subscriptions.,3017.84,0.0
2024-07-15,Entertainment,Cash,"Movies, concerts, and recreational activities.",3071.02,0.0
2024-07-24,Gifts,Debit Card,Purchased gifts for friends and family.,3517.34,0.0
2024-07-17,Transportation,Debit Card,Daily commute and fuel expenses.,4893.38,0.0
2024-07-23,Subscriptions,UPI,Online streaming and magazine subscriptions.,2396.36,7.84
2024-07-13,Groceries,Credit Card,Purchased groceries and household items.,3496.95,0.0
2024-07-21,Gifts,UPI,Purchased gifts for friends and family.,552.56,1.35
2024-07-20,Travel,Credit Card,Expense for travel tickets and accommodation.,2760.19,0.0
2024-07-20,Groceries,Cash,Purchased groceries and household items.,4424.0,0.0
2024-07-14,Gifts,UPI,Purchased gifts for friends and family.,1938.15,15.37
2024-07-18,Entertainment,UPI,"Movies, concerts, and recreational activities.",559.88,16.41
2024-07-10,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",156.66,0.0
2024-07-27,Groceries,Cash,Purchased groceries and household items.,1935.42,0.0
2024-07-17,Transportation,UPI,Daily commute and fuel expenses.,1447.94,14.21
2024-07-04,Transportation,Cash,Daily commute and fuel expenses.,1728.35,0.0
2024-07-08,Travel,Cash,Expense for travel tickets and accommodation.,4915.0,0.0
2024-07-14,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",4915.24,0.0
2024-07-26,Groceries,Credit Card,Purchased groceries and household items.,1281.4,0.0
2024-07-07,Groceries,Debit Card,Purchased groceries and household items.,3848.3,0.0
2024-07-13,Groceries,UPI,Purchased groceries and household items.,3489.69,6.11
2024-07-25,Travel,UPI,Expense for travel tickets and accommodation.,1418.56,9.94
2024-07-18,Transportation,Cash,Daily commute and fuel expenses.,3816.75,0.0
2024-07-26,Transportation,Debit Card,Daily commute and fuel expenses.,3621.76,0.0
2024-07-02,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",4151.28,0.0
2024-07-18,Gifts,Cash,Purchased gifts for friends and family.,2831.94,0.0
2024-07-22,Transportation,Cash,Daily commute and fuel expenses.,477.01,0.0
2024-07-01,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1682.88,0.0
2024-07-02,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4084.07,0.0
2024-07-27,Subscriptions,Cash,Online streaming and magazine subscriptions.,3554.06,0.0
2024-07-27,Travel,Credit Card,Expense for travel tickets and accommodation.,1012.78,0.0
2024-07-24,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",2495.06,0.0
2024-07-19,Groceries,Debit Card,Purchased groceries and household items.,1235.74,0.0
2024-07-08,Transportation,UPI,Daily commute and fuel expenses.,677.69,8.33
2024-07-27,Subscriptions,UPI,Online streaming and magazine subscriptions.,1030.39,13.42
2024-07-22,Groceries,Debit Card,Purchased groceries and household items.,671.32,0.0
2024-07-03,Travel,Credit Card,Expense for travel tickets and accommodation.,4530.65,0.0
2024-07-07,Entertainment,UPI,"Movies, concerts, and recreational activities.",3960.55,5.61
2024-07-26,Entertainment,UPI,"Movies, concerts, and recreational activities.",1216.4,4.3
2024-07-12,Transportation,UPI,Daily commute and fuel expenses.,1009.56,18.63
2024-07-09,Travel,Cash,Expense for travel tickets and accommodation.,2176.81,0.0
2024-07-12,Entertainment,Cash,"Movies, concerts, and recreational activities.",4863.88,0.0
2024-07-03,Travel,Cash,Expense for travel tickets and accommodation.,1705.4,0.0
2024-07-23,Travel,UPI,Expense for travel tickets and accommodation.,2858.14,8.39
2024-07-09,Groceries,Debit Card,Purchased groceries and household items.,3656.95,0.0
2024-07-18,Subscriptions,Cash,Online streaming and magazine subscriptions.,3251.0,0.0
2024-07-08,Travel,UPI,Expense for travel tickets and accommodation.,2816.18,8.57
2024-07-19,Groceries,Cash,Purchased groceries and household items.,4793.42,0.0
2024-07-15,Travel,Debit Card,Expense for travel tickets and accommodation.,1762.04,0.0
2024-07-13,Groceries,Credit Card,Purchased groceries and household items.,3732.83,0.0
2024-07-20,Travel,Credit Card,Expense for travel tickets and accommodation.,4776.2,0.0
2024-07-25,Travel,UPI,Expense for travel tickets and accommodation.,2229.75,3.05
2024-07-23,Groceries,Cash,Purchased groceries and household items.,1849.68,0.0
2024-07-18,Entertainment,Cash,"Movies, concerts, and recreational activities.",1167.87,0.0
2024-07-18,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",3595.63,0.0
2024-07-23,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",3390.79,0.0
2024-07-23,Subscriptions,Cash,Online streaming and magazine subscriptions.,4085.72,0.0
2024-07-12,Travel,Cash,Expense for travel tickets and accommodation.,1961.18,0.0
2024-07-16,Groceries,UPI,Purchased groceries and household items.,2895.67,13.99
2024-07-09,Gifts,Debit Card,Purchased gifts for friends and family.,2073.18,0.0
2024-07-10,Groceries,UPI,Purchased groceries and household items.,4271.19,9.69
2024-07-04,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,3214.28,0.0
2024-07-22,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1832.46,0.0
2024-07-03,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,475.36,0.0
2024-07-11,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3692.83,0.0
2024-07-02,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,572.42,0.0
2024-07-17,Entertainment,UPI,"Movies, concerts, and recreational activities.",2920.94,6.16
2024-07-07,Gifts,Debit Card,Purchased gifts for friends and family.,538.36,0.0
2024-07-06,Groceries,Debit Card,Purchased groceries and household items.,2999.4,0.0
2024-07-04,Travel,Credit Card,Expense for travel tickets and accommodation.,2828.7,0.0
2024-07-08,Groceries,Debit Card,Purchased groceries and household items.,2675.87,0.0
2024-07-16,Travel,Debit Card,Expense for travel tickets and accommodation.,1031.7,0.0
2024-07-05,Travel,Debit Card,Expense for travel tickets and accommodation.,2052.14,0.0
2024-07-18,Entertainment,UPI,"Movies, concerts, and recreational activities.",1900.95,10.57
2024-07-23,Transportation,Credit Card,Daily commute and fuel expenses.,1365.8,0.0
2024-07-06,Groceries,UPI,Purchased groceries and household items.,2455.23,3.33
2024-07-09,Travel,Credit Card,Expense for travel tickets and accommodation.,4841.28,0.0
2024-07-06,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1438.07,0.0
2024-07-01,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4109.03,0.0
2024-07-26,Transportation,UPI,Daily commute and fuel expenses.,1979.22,4.54
2024-07-05,Transportation,UPI,Daily commute and fuel expenses.,2969.67,9.36
2024-07-16,Subscriptions,Cash,Online streaming and magazine subscriptions.,2436.54,0.0
2024-07-20,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,4504.1,0.0
2024-07-09,Entertainment,Cash,"Movies, concerts, and recreational activities.",4688.39,0.0
2024-07-19,Entertainment,Credit Card,"Movies, concerts, and recreational activities.",2347.79,0.0
2024-07-14,Transportation,UPI,Daily commute and fuel expenses.,3802.64,2.36
2024-07-17,Subscriptions,Cash,Online streaming and magazine subscriptions.,2258.31,0.0
2024-07-16,Gifts,UPI,Purchased gifts for friends and family.,2197.92,18.18
2024-07-09,Travel,UPI,Expense for travel tickets and accommodation.,2830.19,8.56
2024-07-10,Subscriptions,Cash,Online streaming and magazine subscriptions.,4146.51,0.0
2024-07-14,Subscriptions,UPI,Online streaming and magazine subscriptions.,895.64,2.76
2024-07-05,Transportation,UPI,Daily commute and fuel expenses.,2065.75,3.42
2024-07-25,Gifts,Debit Card,Purchased gifts for friends and family.,3988.27,0.0
2024-07-21,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1285.72,0.0
2024-07-08,Gifts,Cash,Purchased gifts for friends and family.,2142.65,0.0
2024-07-03,Groceries,Cash,Purchased groceries and household items.,3761.68,0.0
2024-07-25,Travel,UPI,Expense for travel tickets and accommodation.,608.28,16.65
2024-07-11,Gifts,Debit Card,Purchased gifts for friends and family.,3398.1,0.0
2024-07-24,Groceries,UPI,Purchased groceries and household items.,3901.65,12.03
2024-07-27,Travel,Debit Card,Expense for travel tickets and accommodation.,4538.36,0.0
